Origin_Port,Origin_Country,Destination_Port,Distance_NM
Tanjung Bara,Indonesia,Visakhapatnam,2233.7
Tanjung Bara,Indonesia,Paradip,2115.6
Tanjung Bara,Indonesia,Chennai,2316.1
Tanjung Bara,Indonesia,Kolkata,2101.9
Newcastle,Australia,Visakhapatnam,4965.2
Newcastle,Australia,Paradip,4908.6
Newcastle,Australia,Chennai,4933.6
Newcastle,Australia,Kolkata,4926.8
Richards Bay,South Africa,Visakhapatnam,4073.3
Richards Bay,South Africa,Paradip,4323.5
Richards Bay,South Africa,Chennai,3760.6
Richards Bay,South Africa,Kolkata,4484.9
